,company name,link,position,location,deadline,condition,salary
121,닥터노아바이오텍(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40447854&location=ts&searchword=R&searchType=search&paid_fl=n,전문연구요원·병역특례,경기 수원시 영통구,~ 07/31(토),경력무관 석사↑,"4,000~5,000"
122,나이스지니데이타주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=40463736&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,서울 영등포구,오늘마감,경력무관 대졸↑,
123,(주)휴톰,/zf_user/jobs/relay/view?view_type=search&rec_idx=40479031&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 마포구,~ 08/06(금),경력2년↑ 대졸↑,
124,녹십자지놈,/zf_user/jobs/relay/view?view_type=search&rec_idx=40482497&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 용인시 기흥구,~ 06/27(일),경력무관 석사↑,
125,(주)에스유스카우트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40488824&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 금천구,~ 07/16(금),경력3년↑ 석사↑,
126,(주)씨앤에이코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40504264&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 영등포구,~ 07/01(목),경력 4~8년 대졸↑,
127,(주)휴먼트리월드와이드,/zf_user/jobs/relay/view?view_type=search&rec_idx=40509302&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,~ 07/03(토),경력 3~8년 대졸↑,
128,(주)씨앤에이코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40504145&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 영등포구,~ 07/01(목),경력 4~16년 대졸↑,
129,(주)어센트코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40174781&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/03(토),경력무관 대졸↑,
130,주식회사 위키드스톰,/zf_user/jobs/relay/view?view_type=search&rec_idx=40350556&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 성동구,오늘마감,경력 3~10년 학력무관,
131,(주)타이로스코프,/zf_user/jobs/relay/view?view_type=search&rec_idx=40382887&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·병역특례,울산 울주군,상시채용,경력무관 석사↑,
132,프로페셔날핸즈인핸즈코리아(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40408968&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 고양시 덕양구,~ 07/07(수),경력 7~12년 대졸↑,
133,프로페셔날핸즈인핸즈코리아(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40408959&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/06(화),경력 5~10년 대졸↑,
134,(주)어센트코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40446498&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 08/09(월),경력5년↑ 대졸↑,
